ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCertificado	vercertificado	1591037009059	 	3.3.1
USER	VerCertificado	952	START	1591037083530	1591037083530
REQUEST	952		Home	1591037083530	1591037083534	OK	 
REQUEST	385		MiCertificado	1591037083541	1591037083545	OK	 
REQUEST	613		IniciadoOwner	1591037083232	1591037083569	OK	 
REQUEST	613		IniciadoOwner Redirect 1	1591037083569	1591037083572	OK	 
USER	VerCertificado	953	START	1591037083609	1591037083609
REQUEST	953		Home	1591037083609	1591037083613	OK	 
REQUEST	390		MiCertificado	1591037083620	1591037083624	OK	 
REQUEST	606		IniciadoOwner	1591037083312	1591037083642	OK	 
REQUEST	606		IniciadoOwner Redirect 1	1591037083642	1591037083645	OK	 
REQUEST	490		MisCursos	1591037083657	1591037083664	OK	 
REQUEST	393		MiCertificado	1591037083667	1591037083673	OK	 
USER	VerCertificado	285	END	1591037032231	1591037083678
REQUEST	395		MiCertificado	1591037083678	1591037083683	OK	 
REQUEST	512		MisCursos	1591037083678	1591037083686	OK	 
USER	VerCertificado	954	START	1591037083689	1591037083689
REQUEST	954		Home	1591037083689	1591037083694	OK	 
REQUEST	384		MiCertificado	1591037083689	1591037083694	OK	 
REQUEST	406		MiCertificado	1591037083689	1591037083695	OK	 
REQUEST	389		MiCertificado	1591037083699	1591037083704	OK	 
REQUEST	370		MiCertificado	1591037083699	1591037083704	OK	 
REQUEST	392		MiCertificado	1591037083710	1591037083716	OK	 
REQUEST	399		MiCertificado	1591037083710	1591037083716	OK	 
REQUEST	617		IniciadoOwner	1591037083392	1591037083730	OK	 
REQUEST	617		IniciadoOwner Redirect 1	1591037083730	1591037083734	OK	 
USER	VerCertificado	299	END	1591037033309	1591037083737
REQUEST	388		MiCertificado	1591037083732	1591037083737	OK	 
USER	VerCertificado	955	START	1591037083758	1591037083758
REQUEST	955		Home	1591037083758	1591037083763	OK	 
USER	VerCertificado	294	END	1591037032917	1591037083769
USER	VerCertificado	309	END	1591037034072	1591037083769
REQUEST	413		MiCertificado	1591037083769	1591037083774	OK	 
USER	VerCertificado	305	END	1591037033757	1591037083791
USER	VerCertificado	291	END	1591037032690	1591037083807
REQUEST	400		MiCertificado	1591037083807	1591037083812	OK	 
USER	VerCertificado	311	END	1591037034228	1591037083817
REQUEST	845		IniciarSesion	1591037083817	1591037083822	OK	 
REQUEST	849		IniciarSesion	1591037083817	1591037083822	OK	 
USER	VerCertificado	308	END	1591037034001	1591037083828
REQUEST	522		MisCursos	1591037083828	1591037083836	OK	 
USER	VerCertificado	956	START	1591037083839	1591037083839
REQUEST	956		Home	1591037083839	1591037083843	OK	 
REQUEST	408		MiCertificado	1591037083839	1591037083844	OK	 
REQUEST	386		MiCertificado	1591037083850	1591037083854	OK	 
USER	VerCertificado	301	END	1591037033460	1591037083861
REQUEST	517		MisCursos	1591037083871	1591037083879	OK	 
REQUEST	844		IniciarSesion	1591037083883	1591037083888	OK	 
REQUEST	843		IniciarSesion	1591037083882	1591037083887	OK	 
REQUEST	382		MiCertificado	1591037083882	1591037083888	OK	 
REQUEST	854		IniciarSesion	1591037083882	1591037083889	OK	 
USER	VerCertificado	319	END	1591037034840	1591037083898
REQUEST	850		IniciarSesion	1591037083898	1591037083903	OK	 
REQUEST	858		IniciarSesion	1591037083898	1591037083903	OK	 
USER	VerCertificado	957	START	1591037083919	1591037083919
REQUEST	957		Home	1591037083919	1591037083923	OK	 
USER	VerCertificado	318	END	1591037034770	1591037083930
REQUEST	852		IniciarSesion	1591037083930	1591037083934	OK	 
REQUEST	398		MiCertificado	1591037083930	1591037083935	OK	 
REQUEST	853		IniciarSesion	1591037083941	1591037083945	OK	 
REQUEST	851		IniciarSesion	1591037083941	1591037083945	OK	 
REQUEST	866		IniciarSesion	1591037083952	1591037083955	OK	 
REQUEST	391		MiCertificado	1591037083978	1591037083983	OK	 
REQUEST	383		MiCertificado	1591037083989	1591037083994	OK	 
USER	VerCertificado	958	START	1591037083999	1591037083999
REQUEST	958		Home	1591037084000	1591037084003	OK	 
REQUEST	632		IniciadoOwner	1591037083653	1591037084044	OK	 
REQUEST	632		IniciadoOwner Redirect 1	1591037084044	1591037084047	OK	 
REQUEST	631		IniciadoOwner	1591037083657	1591037084047	OK	 
REQUEST	631		IniciadoOwner Redirect 1	1591037084047	1591037084052	OK	 
USER	VerCertificado	298	END	1591037033230	1591037084068
USER	VerCertificado	959	START	1591037084068	1591037084068
REQUEST	618		IniciadoOwner	1591037083678	1591037084070	OK	 
REQUEST	959		Home	1591037084068	1591037084073	OK	 
REQUEST	618		IniciadoOwner Redirect 1	1591037084070	1591037084074	OK	 
REQUEST	848		IniciarSesion	1591037084112	1591037084117	OK	 
REQUEST	857		IniciarSesion	1591037084112	1591037084118	OK	 
REQUEST	864		IniciarSesion	1591037084117	1591037084121	OK	 
USER	VerCertificado	960	START	1591037084149	1591037084149
REQUEST	960		Home	1591037084149	1591037084154	OK	 
REQUEST	855		IniciarSesion	1591037084182	1591037084187	OK	 
USER	VerCertificado	961	START	1591037084229	1591037084229
REQUEST	630		IniciadoOwner	1591037083839	1591037084263	OK	 
REQUEST	961		Home	1591037084229	1591037084267	OK	 
REQUEST	630		IniciadoOwner Redirect 1	1591037084263	1591037084270	OK	 
USER	VerCertificado	315	END	1591037034538	1591037084277
USER	VerCertificado	962	START	1591037084306	1591037084306
REQUEST	962		Home	1591037084306	1591037084326	OK	 
USER	VerCertificado	306	END	1591037033841	1591037084364
USER	VerCertificado	321	END	1591037035001	1591037084365
REQUEST	628		IniciadoOwner	1591037083871	1591037084370	OK	 
REQUEST	628		IniciadoOwner Redirect 1	1591037084370	1591037084375	OK	 
USER	VerCertificado	963	START	1591037084388	1591037084388
REQUEST	963		Home	1591037084388	1591037084449	OK	 
USER	VerCertificado	312	END	1591037034297	1591037084465
USER	VerCertificado	964	START	1591037084465	1591037084465
USER	VerCertificado	965	START	1591037084574	1591037084574
REQUEST	964		Home	1591037084466	1591037084591	OK	 
REQUEST	965		Home	1591037084575	1591037084595	OK	 
USER	VerCertificado	307	END	1591037033919	1591037084637
USER	VerCertificado	966	START	1591037084637	1591037084637
REQUEST	966		Home	1591037084637	1591037084694	OK	 
USER	VerCertificado	316	END	1591037034608	1591037084698
USER	VerCertificado	967	START	1591037084698	1591037084698
REQUEST	627		IniciadoOwner	1591037084047	1591037084759	OK	 
USER	VerCertificado	314	END	1591037034457	1591037084808
USER	VerCertificado	317	END	1591037034689	1591037084809
USER	VerCertificado	313	END	1591037034377	1591037084809
USER	VerCertificado	968	START	1591037084808	1591037084808
REQUEST	967		Home	1591037084698	1591037084831	OK	 
REQUEST	404		MiCertificado	1591037084739	1591037084831	OK	 
REQUEST	403		MiCertificado	1591037084739	1591037084831	OK	 
REQUEST	525		MisCursos	1591037084739	1591037084831	OK	 
USER	VerCertificado	324	END	1591037035231	1591037084857
USER	VerCertificado	969	START	1591037084857	1591037084857
REQUEST	410		MiCertificado	1591037084809	1591037084907	OK	 
REQUEST	510		MisCursos	1591037084809	1591037084907	OK	 
REQUEST	514		MisCursos	1591037084808	1591037084907	OK	 
REQUEST	861		IniciarSesion	1591037084808	1591037084907	OK	 
REQUEST	863		IniciarSesion	1591037084808	1591037084907	OK	 
USER	VerCertificado	970	START	1591037084930	1591037084930
REQUEST	504		MisCursos	1591037084808	1591037084972	OK	 
REQUEST	627		IniciadoOwner Redirect 1	1591037084759	1591037084972	OK	 
REQUEST	865		IniciarSesion	1591037084808	1591037084973	OK	 
REQUEST	876		IniciarSesion	1591037084808	1591037084974	OK	 
USER	VerCertificado	971	START	1591037085013	1591037085013
REQUEST	518		MisCursos	1591037084808	1591037085043	OK	 
REQUEST	862		IniciarSesion	1591037084808	1591037085043	OK	 
USER	VerCertificado	972	START	1591037085089	1591037085089
REQUEST	511		MisCursos	1591037084809	1591037085110	OK	 
REQUEST	871		IniciarSesion	1591037084809	1591037085110	OK	 
USER	VerCertificado	973	START	1591037085150	1591037085150
REQUEST	506		MisCursos	1591037084931	1591037085176	OK	 
REQUEST	427		MiCertificado	1591037084857	1591037085184	OK	 
REQUEST	523		MisCursos	1591037084897	1591037085185	OK	 
REQUEST	968		Home	1591037084809	1591037085186	OK	 
REQUEST	396		MiCertificado	1591037084897	1591037085186	OK	 
REQUEST	971		Home	1591037085013	1591037085191	OK	 
REQUEST	538		MisCursos	1591037084856	1591037085201	OK	 
REQUEST	516		MisCursos	1591037085055	1591037085202	OK	 
REQUEST	624		IniciadoOwner	1591037084208	1591037085202	OK	 
USER	VerCertificado	974	START	1591037085234	1591037085234
REQUEST	412		MiCertificado	1591037085013	1591037085267	OK	 
REQUEST	969		Home	1591037084857	1591037085267	OK	 
REQUEST	515		MisCursos	1591037085055	1591037085268	OK	 
USER	VerCertificado	322	END	1591037035071	1591037085284
USER	VerCertificado	340	END	1591037036459	1591037085285
USER	VerCertificado	336	END	1591037036147	1591037085298
USER	VerCertificado	975	START	1591037085298	1591037085298
REQUEST	626		IniciadoOwner	1591037084090	1591037085337	OK	 
USER	VerCertificado	323	END	1591037035151	1591037085377
USER	VerCertificado	331	END	1591037035762	1591037085377
USER	VerCertificado	310	END	1591037034147	1591037085378
USER	VerCertificado	976	START	1591037085378	1591037085378
USER	VerCertificado	341	END	1591037036529	1591037085388
REQUEST	397		MiCertificado	1591037085089	1591037085401	OK	 
REQUEST	401		MiCertificado	1591037084968	1591037085401	OK	 
REQUEST	859		IniciarSesion	1591037084857	1591037085402	OK	 
REQUEST	533		MisCursos	1591037085104	1591037085402	OK	 
REQUEST	521		MisCursos	1591037084897	1591037085402	OK	 
REQUEST	640		IniciadoOwner	1591037084343	1591037085403	OK	 
REQUEST	625		IniciadoOwner	1591037084160	1591037085404	OK	 
USER	VerCertificado	332	END	1591037035836	1591037085421
USER	VerCertificado	329	END	1591037035612	1591037085421
REQUEST	532		MisCursos	1591037084897	1591037085460	OK	 
REQUEST	520		MisCursos	1591037085055	1591037085466	OK	 
REQUEST	970		Home	1591037084931	1591037085470	OK	 
REQUEST	621		IniciadoOwner	1591037084208	1591037085500	OK	 
USER	VerCertificado	338	END	1591037036298	1591037085518
USER	VerCertificado	977	START	1591037085519	1591037085519
USER	VerCertificado	320	END	1591037034920	1591037085520
REQUEST	620		IniciadoOwner	1591037084138	1591037085570	OK	 
REQUEST	641		IniciadoOwner	1591037084465	1591037085571	OK	 
REQUEST	874		IniciarSesion	1591037085055	1591037085571	OK	 
REQUEST	638		IniciadoOwner	1591037084426	1591037085572	OK	 
REQUEST	856		IniciarSesion	1591037085055	1591037085576	OK	 
REQUEST	645		IniciadoOwner	1591037084465	1591037085577	OK	 
REQUEST	869		IniciarSesion	1591037085519	1591037085584	OK	 
REQUEST	528		MisCursos	1591037085298	1591037085589	OK	 
REQUEST	624		IniciadoOwner Redirect 1	1591037085203	1591037085597	OK	 
REQUEST	974		Home	1591037085235	1591037085600	OK	 
USER	VerCertificado	326	END	1591037035381	1591037085601
USER	VerCertificado	327	END	1591037035461	1591037085601
USER	VerCertificado	978	START	1591037085600	1591037085600
REQUEST	417		MiCertificado	1591037085298	1591037085612	OK	 
REQUEST	440		MiCertificado	1591037085421	1591037085612	OK	 
REQUEST	619		IniciadoOwner	1591037084225	1591037085613	OK	 
REQUEST	860		IniciarSesion	1591037085388	1591037085614	OK	 
REQUEST	425		MiCertificado	1591037085234	1591037085619	OK	 
REQUEST	640		IniciadoOwner Redirect 1	1591037085403	1591037085621	OK	 
REQUEST	411		MiCertificado	1591037085324	1591037085622	OK	 
REQUEST	626		IniciadoOwner Redirect 1	1591037085337	1591037085622	OK	 
REQUEST	633		IniciadoOwner	1591037084208	1591037085622	OK	 
REQUEST	972		Home	1591037085089	1591037085622	OK	 
REQUEST	976		Home	1591037085378	1591037085624	OK	 
REQUEST	878		IniciarSesion	1591037085388	1591037085625	OK	 
REQUEST	621		IniciadoOwner Redirect 1	1591037085501	1591037085629	OK	 
REQUEST	536		MisCursos	1591037085399	1591037085630	OK	 
REQUEST	975		Home	1591037085299	1591037085633	OK	 
REQUEST	620		IniciadoOwner Redirect 1	1591037085570	1591037085635	OK	 
REQUEST	645		IniciadoOwner Redirect 1	1591037085577	1591037085636	OK	 
REQUEST	633		IniciadoOwner Redirect 1	1591037085622	1591037085637	OK	 
USER	VerCertificado	979	START	1591037085663	1591037085663
USER	VerCertificado	330	END	1591037035692	1591037085739
USER	VerCertificado	980	START	1591037085739	1591037085739
USER	VerCertificado	981	START	1591037085812	1591037085812
USER	VerCertificado	339	END	1591037036379	1591037085878
USER	VerCertificado	982	START	1591037085877	1591037085877
USER	VerCertificado	325	END	1591037035311	1591037085936
USER	VerCertificado	349	END	1591037037147	1591037085936
USER	VerCertificado	983	START	1591037085936	1591037085936
USER	VerCertificado	335	END	1591037036067	1591037085981
USER	VerCertificado	984	START	1591037086034	1591037086034
USER	VerCertificado	985	START	1591037086078	1591037086078
USER	VerCertificado	334	END	1591037035987	1591037086145
REQUEST	973		Home	1591037085150	1591037086221	OK	 
REQUEST	879		IniciarSesion	1591037085388	1591037086221	OK	 
REQUEST	513		MisCursos	1591037085284	1591037086228	OK	 
USER	VerCertificado	354	END	1591037037529	1591037086229
REQUEST	873		IniciarSesion	1591037085388	1591037086229	OK	 
USER	VerCertificado	986	START	1591037086229	1591037086229
USER	VerCertificado	333	END	1591037035917	1591037086230
USER	VerCertificado	987	START	1591037086229	1591037086229
REQUEST	625		IniciadoOwner Redirect 1	1591037085404	1591037086230	OK	 
REQUEST	530		MisCursos	1591037085521	1591037086230	OK	 
REQUEST	870		IniciarSesion	1591037085388	1591037086230	OK	 
REQUEST	977		Home	1591037085519	1591037086230	OK	 
REQUEST	537		MisCursos	1591037085240	1591037086251	OK	 
REQUEST	638		IniciadoOwner Redirect 1	1591037085572	1591037086251	OK	 
REQUEST	420		MiCertificado	1591037085518	1591037086251	OK	 
REQUEST	531		MisCursos	1591037085324	1591037086252	OK	 
REQUEST	868		IniciarSesion	1591037085388	1591037086252	OK	 
REQUEST	443		MiCertificado	1591037085601	1591037086253	OK	 
REQUEST	629		IniciadoOwner	1591037084388	1591037086270	OK	 
REQUEST	507		MisCursos	1591037085014	1591037086319	OK	 
REQUEST	622		IniciadoOwner	1591037084365	1591037086320	OK	 
REQUEST	636		IniciadoOwner	1591037084326	1591037086320	OK	 
USER	VerCertificado	988	START	1591037086325	1591037086325
REQUEST	646		IniciadoOwner	1591037084560	1591037086331	OK	 
REQUEST	634		IniciadoOwner	1591037085089	1591037086636	OK	 
REQUEST	886		IniciarSesion	1591037085663	1591037086636	OK	 
REQUEST	884		IniciarSesion	1591037085740	1591037086636	OK	 
REQUEST	872		IniciarSesion	1591037085388	1591037086635	OK	 
REQUEST	534		MisCursos	1591037085740	1591037086636	OK	 
REQUEST	526		MisCursos	1591037085285	1591037086637	OK	 
REQUEST	535		MisCursos	1591037085665	1591037086637	OK	 
USER	VerCertificado	989	START	1591037086637	1591037086637
USER	VerCertificado	991	START	1591037086638	1591037086638
USER	VerCertificado	990	START	1591037086638	1591037086638
USER	VerCertificado	992	START	1591037086638	1591037086638
REQUEST	524		MisCursos	1591037085936	1591037086660	OK	 
REQUEST	880		IniciarSesion	1591037085602	1591037086661	OK	 
REQUEST	881		IniciarSesion	1591037085602	1591037086666	OK	 
REQUEST	641		IniciadoOwner Redirect 1	1591037085571	1591037086667	OK	 
REQUEST	527		MisCursos	1591037085432	1591037086668	OK	 
USER	VerCertificado	993	START	1591037086691	1591037086691
REQUEST	875		IniciarSesion	1591037085601	1591037086700	OK	 
REQUEST	867		IniciarSesion	1591037085388	1591037086866	OK	 
REQUEST	429		MiCertificado	1591037085981	1591037086867	OK	 
REQUEST	622		IniciadoOwner Redirect 1	1591037086320	1591037086868	OK	 
REQUEST	888		IniciarSesion	1591037085812	1591037086868	OK	 
REQUEST	652		IniciadoOwner	1591037085285	1591037086870	OK	 
REQUEST	405		MiCertificado	1591037085521	1591037086870	OK	 
REQUEST	529		MisCursos	1591037085519	1591037086871	OK	 
REQUEST	894		IniciarSesion	1591037086229	1591037086871	OK	 
USER	VerCertificado	347	END	1591037036997	1591037086897
USER	VerCertificado	994	START	1591037086897	1591037086897
USER	VerCertificado	995	START	1591037086904	1591037086904
USER	VerCertificado	351	END	1591037037298	1591037086904
USER	VerCertificado	996	START	1591037087106	1591037087106
USER	VerCertificado	355	END	1591037037610	1591037087107
USER	VerCertificado	328	END	1591037035531	1591037087107
USER	VerCertificado	337	END	1591037036228	1591037087107
USER	VerCertificado	997	START	1591037087107	1591037087107
USER	VerCertificado	998	START	1591037087108	1591037087108
USER	VerCertificado	353	END	1591037037460	1591037087109
USER	VerCertificado	343	END	1591037036691	1591037087152
USER	VerCertificado	999	START	1591037087152	1591037087152
USER	VerCertificado	346	END	1591037036917	1591037087160
REQUEST	623		IniciadoOwner	1591037084273	1591037087196	OK	 
USER	VerCertificado	1000	START	1591037087264	1591037087264
REQUEST	639		IniciadoOwner	1591037085298	1591037087445	OK	 
USER	VerCertificado	1002	START	1591037087451	1591037087451
USER	VerCertificado	1001	START	1591037087451	1591037087451
USER	VerCertificado	1004	START	1591037087552	1591037087552
USER	VerCertificado	1003	START	1591037087552	1591037087552
REQUEST	644		IniciadoOwner	1591037085378	1591037087570	OK	 
REQUEST	984		Home	1591037086034	1591037087570	OK	 
REQUEST	416		MiCertificado	1591037085601	1591037087571	OK	 
REQUEST	422		MiCertificado	1591037085812	1591037087572	OK	 
REQUEST	629		IniciadoOwner Redirect 1	1591037086270	1591037087572	OK	 
REQUEST	891		IniciarSesion	1591037085936	1591037087578	OK	 
REQUEST	983		Home	1591037085937	1591037087579	OK	 
REQUEST	414		MiCertificado	1591037085936	1591037087579	OK	 
REQUEST	985		Home	1591037086078	1591037087580	OK	 
REQUEST	619		IniciadoOwner Redirect 1	1591037085614	1591037087581	OK	 
REQUEST	649		IniciadoOwner	1591037085055	1591037087585	OK	 
REQUEST	882		IniciarSesion	1591037085663	1591037087586	OK	 
REQUEST	637		IniciadoOwner	1591037085150	1591037087587	OK	 
REQUEST	415		MiCertificado	1591037086034	1591037087587	OK	 
REQUEST	892		IniciarSesion	1591037086078	1591037087587	OK	 
REQUEST	650		IniciadoOwner	1591037085055	1591037087589	OK	 
REQUEST	980		Home	1591037085739	1591037087589	OK	 
USER	VerCertificado	1005	START	1591037087635	1591037087635
USER	VerCertificado	342	END	1591037036610	1591037087794
USER	VerCertificado	380	END	1591037039529	1591037087794
USER	VerCertificado	352	END	1591037037379	1591037087794
USER	VerCertificado	1006	START	1591037087794	1591037087794
USER	VerCertificado	1007	START	1591037087902	1591037087902
USER	VerCertificado	1008	START	1591037087967	1591037087967
REQUEST	652		IniciadoOwner Redirect 1	1591037086870	1591037087983	OK	 
REQUEST	407		MiCertificado	1591037085740	1591037087984	OK	 
REQUEST	1002		Home	1591037087451	1591037087991	OK	 
REQUEST	890		IniciarSesion	1591037085936	1591037087995	OK	 
REQUEST	548		MisCursos	1591037086638	1591037088003	OK	 
REQUEST	546		MisCursos	1591037086638	1591037088006	OK	 
REQUEST	552		MisCursos	1591037086637	1591037088008	OK	 
REQUEST	448		MiCertificado	1591037086638	1591037088011	OK	 
REQUEST	993		Home	1591037086692	1591037088013	OK	 
REQUEST	543		MisCursos	1591037086638	1591037088014	OK	 
REQUEST	905		IniciarSesion	1591037087108	1591037088026	OK	 
REQUEST	540		MisCursos	1591037086638	1591037088049	OK	 
REQUEST	451		MiCertificado	1591037086897	1591037088049	OK	 
REQUEST	439		MiCertificado	1591037085740	1591037088050	OK	 
REQUEST	647		IniciadoOwner	1591037085104	1591037088050	OK	 
REQUEST	639		IniciadoOwner Redirect 1	1591037087446	1591037088079	OK	 
REQUEST	877		IniciarSesion	1591037085601	1591037088079	OK	 
REQUEST	643		IniciadoOwner	1591037085285	1591037088079	OK	 
REQUEST	636		IniciadoOwner Redirect 1	1591037086320	1591037088091	OK	 
REQUEST	455		MiCertificado	1591037087262	1591037088092	OK	 
REQUEST	885		IniciarSesion	1591037085663	1591037088092	OK	 
REQUEST	456		MiCertificado	1591037087108	1591037088094	OK	 
REQUEST	409		MiCertificado	1591037085878	1591037088094	OK	 
REQUEST	419		MiCertificado	1591037086324	1591037088096	OK	 
REQUEST	893		IniciarSesion	1591037086145	1591037088096	OK	 
REQUEST	979		Home	1591037085663	1591037088096	OK	 
REQUEST	895		IniciarSesion	1591037086325	1591037088096	OK	 
REQUEST	978		Home	1591037085601	1591037088097	OK	 
REQUEST	991		Home	1591037086639	1591037088097	OK	 
REQUEST	519		MisCursos	1591037085739	1591037088102	OK	 
REQUEST	996		Home	1591037087107	1591037088102	OK	 
REQUEST	902		IniciarSesion	1591037087108	1591037088103	OK	 
REQUEST	898		IniciarSesion	1591037086904	1591037088103	OK	 
REQUEST	994		Home	1591037086900	1591037088104	OK	 
REQUEST	900		IniciarSesion	1591037087108	1591037088104	OK	 
REQUEST	642		IniciadoOwner	1591037085150	1591037088106	OK	 
USER	VerCertificado	1009	START	1591037088115	1591037088115
USER	VerCertificado	1010	START	1591037088116	1591037088116
REQUEST	635		IniciadoOwner	1591037085089	1591037088135	OK	 
REQUEST	648		IniciadoOwner	1591037085298	1591037088135	OK	 
REQUEST	651		IniciadoOwner	1591037085297	1591037088135	OK	 
REQUEST	664		IniciadoOwner	1591037085812	1591037088135	OK	 
REQUEST	667		IniciadoOwner	1591037085936	1591037088136	OK	 
REQUEST	661		IniciadoOwner	1591037085601	1591037088136	OK	 
REQUEST	904		IniciarSesion	1591037087107	1591037088138	OK	 
REQUEST	889		IniciarSesion	1591037085878	1591037088142	OK	 
REQUEST	438		MiCertificado	1591037086637	1591037088143	OK	 
REQUEST	646		IniciadoOwner Redirect 1	1591037086331	1591037088143	OK	 
REQUEST	421		MiCertificado	1591037085878	1591037088145	OK	 
REQUEST	654		IniciadoOwner	1591037085601	1591037088188	OK	 
REQUEST	669		IniciadoOwner	1591037086078	1591037088188	OK	 
REQUEST	665		IniciadoOwner	1591037085811	1591037088188	OK	 
USER	VerCertificado	344	END	1591037036771	1591037088193
USER	VerCertificado	1011	START	1591037088193	1591037088193
REQUEST	883		IniciarSesion	1591037085740	1591037088232	OK	 
REQUEST	430		MiCertificado	1591037086637	1591037088233	OK	 
REQUEST	462		MiCertificado	1591037087965	1591037088233	OK	 
REQUEST	418		MiCertificado	1591037086637	1591037088267	OK	 
REQUEST	634		IniciadoOwner Redirect 1	1591037086636	1591037088268	OK	 
REQUEST	990		Home	1591037086639	1591037088268	OK	 
REQUEST	551		MisCursos	1591037086638	1591037088268	OK	 
REQUEST	907		IniciarSesion	1591037087451	1591037088272	OK	 
REQUEST	553		MisCursos	1591037086638	1591037088277	OK	 
REQUEST	671		IniciadoOwner	1591037086229	1591037088290	OK	 
REQUEST	442		MiCertificado	1591037088193	1591037088302	OK	 
REQUEST	454		MiCertificado	1591037088193	1591037088314	OK	 
USER	VerCertificado	1012	START	1591037088319	1591037088319
USER	VerCertificado	348	END	1591037037067	1591037088321
USER	VerCertificado	359	END	1591037037922	1591037088322
USER	VerCertificado	1013	START	1591037088323	1591037088323
REQUEST	547		MisCursos	1591037086637	1591037088350	OK	 
REQUEST	550		MisCursos	1591037086638	1591037088350	OK	 
REQUEST	986		Home	1591037086229	1591037088351	OK	 
REQUEST	887		IniciarSesion	1591037085663	1591037088351	OK	 
REQUEST	423		MiCertificado	1591037086637	1591037088360	OK	 
REQUEST	906		IniciarSesion	1591037087108	1591037088360	OK	 
REQUEST	981		Home	1591037085812	1591037088361	OK	 
REQUEST	623		IniciadoOwner Redirect 1	1591037087197	1591037088365	OK	 
REQUEST	555		MisCursos	1591037086638	1591037088367	OK	 
REQUEST	997		Home	1591037087108	1591037088367	OK	 
REQUEST	549		MisCursos	1591037086648	1591037088370	OK	 
REQUEST	988		Home	1591037086326	1591037088374	OK	 
REQUEST	544		MisCursos	1591037086639	1591037088375	OK	 
REQUEST	424		MiCertificado	1591037086637	1591037088375	OK	 
REQUEST	469		MiCertificado	1591037087966	1591037088380	OK	 
REQUEST	539		MisCursos	1591037086638	1591037088381	OK	 
REQUEST	426		MiCertificado	1591037087108	1591037088386	OK	 
REQUEST	995		Home	1591037086904	1591037088388	OK	 
REQUEST	897		IniciarSesion	1591037086904	1591037088388	OK	 
REQUEST	556		MisCursos	1591037087107	1591037088389	OK	 
REQUEST	453		MiCertificado	1591037087107	1591037088395	OK	 
REQUEST	903		IniciarSesion	1591037087108	1591037088398	OK	 
REQUEST	557		MisCursos	1591037086638	1591037088401	OK	 
REQUEST	559		MisCursos	1591037086901	1591037088401	OK	 
REQUEST	1001		Home	1591037087451	1591037088404	OK	 
REQUEST	450		MiCertificado	1591037087160	1591037088404	OK	 
REQUEST	452		MiCertificado	1591037086638	1591037088404	OK	 
REQUEST	913		IniciarSesion	1591037087635	1591037088405	OK	 
REQUEST	911		IniciarSesion	1591037087552	1591037088409	OK	 
REQUEST	562		MisCursos	1591037088115	1591037088415	OK	 
REQUEST	919		IniciarSesion	1591037088115	1591037088415	OK	 
REQUEST	560		MisCursos	1591037088115	1591037088420	OK	 
REQUEST	460		MiCertificado	1591037088115	1591037088422	OK	 
REQUEST	658		IniciadoOwner	1591037085663	1591037088443	OK	 
REQUEST	908		IniciarSesion	1591037087451	1591037088443	OK	 
REQUEST	921		IniciarSesion	1591037088193	1591037088468	OK	 
REQUEST	567		MisCursos	1591037087964	1591037088468	OK	 
REQUEST	428		MiCertificado	1591037086638	1591037088469	OK	 
REQUEST	987		Home	1591037086230	1591037088469	OK	 
REQUEST	432		MiCertificado	1591037088116	1591037088470	OK	 
REQUEST	541		MisCursos	1591037086707	1591037088478	OK	 
REQUEST	918		IniciarSesion	1591037087966	1591037088479	OK	 
REQUEST	1008		Home	1591037087967	1591037088484	OK	 
REQUEST	982		Home	1591037085878	1591037088495	OK	 
REQUEST	992		Home	1591037086639	1591037088497	OK	 
REQUEST	909		IniciarSesion	1591037087451	1591037088497	OK	 
REQUEST	1003		Home	1591037087552	1591037088500	OK	 
REQUEST	437		MiCertificado	1591037087108	1591037088502	OK	 
REQUEST	989		Home	1591037086638	1591037088503	OK	 
REQUEST	402		MiCertificado	1591037086637	1591037088511	OK	 
REQUEST	572		MisCursos	1591037088193	1591037088511	OK	 
REQUEST	901		IniciarSesion	1591037087107	1591037088515	OK	 
REQUEST	649		IniciadoOwner Redirect 1	1591037087585	1591037088515	OK	 
REQUEST	668		IniciadoOwner	1591037085937	1591037088522	OK	 
REQUEST	899		IniciarSesion	1591037087108	1591037088522	OK	 
REQUEST	999		Home	1591037087152	1591037088523	OK	 
REQUEST	558		MisCursos	1591037086897	1591037088539	OK	 
REQUEST	912		IniciarSesion	1591037087552	1591037088540	OK	 
REQUEST	1005		Home	1591037087635	1591037088559	OK	 
REQUEST	650		IniciadoOwner Redirect 1	1591037087589	1591037088560	OK	 
REQUEST	457		MiCertificado	1591037088116	1591037088582	OK	 
REQUEST	571		MisCursos	1591037088116	1591037088590	OK	 
REQUEST	554		MisCursos	1591037088115	1591037088595	OK	 
REQUEST	472		MiCertificado	1591037088116	1591037088598	OK	 
REQUEST	920		IniciarSesion	1591037088116	1591037088629	OK	 
REQUEST	914		IniciarSesion	1591037087712	1591037088656	OK	 
REQUEST	466		MiCertificado	1591037087902	1591037088657	OK	 
USER	VerCertificado	1014	START	1591037088657	1591037088657
USER	VerCertificado	377	END	1591037039309	1591037088657
USER	VerCertificado	373	END	1591037038997	1591037088658
USER	VerCertificado	364	END	1591037038297	1591037088658
USER	VerCertificado	1015	START	1591037088658	1591037088658
USER	VerCertificado	1016	START	1591037088660	1591037088660
